she invested part of it at 10 % and the rest at 8 % . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	she invested part of it at 10 % . she invested the rest at 8 % .
venus hall charges 500 dollars to rent the room and 35 dollars for each meal . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 NP1 S0 S1 S2 S3 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	venus hall charges 500 dollars to rent the room venus hall charges 35 dollars for each meal .
a special tea blend is made from two varieties of herbal tea , one that costs 4 .00 dollars per kilogram and another that costs 2 .00 dollars per kilogram . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBZ0 VBN0 IN0 NP0 NP1 NP2 NP3 NP4 ,0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 CANNOTDISTRIBUTE	a special tea blend is made from two varieties of herbal tea , one that costs 4 .00 dollars per kilogram . a special tea blend is made from two varieties of herbal tea , one that costs 2 .00 dollars per kilogram .
you had 6,800 .00 dollars to spend and purchased 250 sets of dishes . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 CC0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	you had 6 ,800 .00 dollars to spend . you purchased 250 sets of dishes .
a movie theater charges 7 .50 dollars for adults and 4 .50 dollars for children . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	a movie theater charges 7 .50 dollars for adults a movie theater charges 4 .50 dollars for children .
steve has 36 coins consisting of dimes and nickels . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 VBG0 IN0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
she used 0 .25 gallon of grape juice , 0 .375 gallon of cranberry juice , and 0 .125 gallon of club soda . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	she used 0 .25 gallon of grape juice . she used 0 .375 gallon of cranberry juice . she used 0 .125 gallon of club soda .
a freight train and an express train leave towns 390 kilometers apart , traveling toward one another . CANNOTDISTRIBUTE	NP0 NP1 NP2 CC0 NP0 NP1 NP2 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
jenny ran 0 .6 mile and walked 0 .4 mile . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	jenny ran 0 .6 mile . jenny walked 0 .4 mile .
how many main seat tickets and back seat tickets were sold ? CANNOTDISTRIBUTE	WRB0 JJ0 JJ0 NN0 NNS0 CC0 NP0 NP1 NP2 VP0 VP1 .0 CANNOTDISTRIBUTE	how many main seat tickets were sold ? how many back seat tickets were sold ?
the us senate had a total of 99 democrats and republicans . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBD0 NP0 NP1 IN0 CD0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
jason found 49 seashells and 48 starfish on the beach . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	jason found 49 seashells on the beach . jason found 48 starfish on the beach .
the sum of 5 and a number is 20 . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 CC0 NP0 NP1 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a person wishes to invest 2,400 .00 dollars , part at 9 % and part at 6 % . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 TO0 VP0 VP1 VP2 VP3 ,0 NP0 NP1 NP2 NP3 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the smaller number and the larger number . . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 .0 CANNOTDISTRIBUTE	find the smaller number . find the larger number .
you buy 25 boxes of candy and spend 28 .00 dollars . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 IN0 NN0 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	you buy 25 boxes of candy . you spend 28 .00 dollars .
the first source provides crude oil that is 25 % hydrocarbons and the second one provides crude oil that is 75 % hydrocarbons . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 .0 CANNOTDISTRIBUTE	the first source provides crude oil that is 25 % hydrocarbons . the second source provides crude oil that is 75 % hydrocarbons .
the blue ball weighed 6 pounds and the brown ball weighed 3 .12 pounds . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	the blue ball weighed 6 pounds . the brown ball weighed 3 .12 pounds .
mary spent $ 1 .08 on soup and $ 4 .80 on a salad . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	mary spent $1 .08 on soup . mary spent $4 .80 on a salad .
the daily prices are 1 .50 dollars for children and 2 .25 dollars for adults . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBP0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	the daily prices are 1 .50 dollars for children . the daily prices are 2 .25 dollars for adults .
if the product of 5 and a number is increased by 4 , the result is 19 . CANNOTDISTRIBUTE	IN0 NP0 NP1 IN0 NP0 CC0 NP0 NP1 VP0 VP1 VP2 VP3 ,0 NP0 NP1 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if 175 tickets were sold and the profit was 750 dollars , how many kid tickets were sold ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 CC0 S0 S1 S2 S3 S4 ,0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many orders of popcorn shrimp and catfish dinners did they sell ? CANNOTDISTRIBUTE	X0 X1 X2 IN0 JJ0 NN0 CC0 NN0 NNS0 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	how many orders of popcorn shrimp dinners did they sell ? how many orders of catfish dinners did they sell ?
last week fred had 23 dollars and jason had 46 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	last week fred had 23 dollars . last week jason had 46 dollars .
one solution is 20 % pure acid and the other is 60 % pure acid . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	one solution is 20 % pure acid one solution is 60 % pure acid
how much does a bag of bagels and a package of cream cheese cost , in dollars ? CANNOTDISTRIBUTE	WHNP0 WHNP1 VBZ0 NP0 NP1 PP0 PP1 CC0 NP0 NP1 NP2 NP3 NP4 NN0 ,0 PP0 PP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
mario has 5000 pence to invest and decides to invest part of it at 4 % and the rest of it at 6 .5 % . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 CC0 VBZ0 TO0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if 130 tickets were sold and the total receipts were 840 dollars , how many adult tickets and child tickets were sold ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 CC0 S0 S1 S2 S3 S4 S5 ,0 WHADJP0 WHADJP1 NX0 NX1 CC0 NX0 NX1 S0 S1 .0 CANNOTDISTRIBUTE	if 130 tickets were sold and the total receipts were 840 dollars , how many adult tickets were sold ? if 130 tickets were sold and the total receipts were 840 dollars , how many child tickets were sold ?
sara has already saved 4100 dollars , and she plans to save 10 dollars a week . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	sara has already saved 4100 dollars . sara plans to saved 10 dollars a week .
melanie picked 7 plums and 4 oranges from the orchard . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	melanie picked 7 plums from the orchard . melanie picked 4 oranges from the orchard .
jessica spent $ 10 .22 on a cat toy , and a cage cost her $ 11 .73 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	jessica spent $10 .22 on a cat toy . a cage cost her $11 .73 .
she noticed that the restaurant had 0 .08333333333333333 tart filled with cherries , 0 .75 tart filled with blueberries , and 0 .08333333333333333 tart filled with peaches . CANNOTDISTRIBUTE	NP0 VBD0 IN0 NP0 NP1 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	she noticed that the restaurant had 0 .08333333333333333 tart filled with cherries . she noticed that the restaurant had 0 .75 tart filled with blueberries . she noticed that the restaurant had 0 .08333333333333333 tart filled with peaches .
if the product of 5 and a number is increased by 4 , the result is 19 . CANNOTDISTRIBUTE	IN0 NP0 NP1 IN0 NP0 CC0 NP0 NP1 VP0 VP1 VP2 VP3 ,0 NP0 NP1 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
tim found 37 seashells and sally found 13 seashells on the beach . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	tim found 37 seashells on the beach . sally found 13 seashells on the beach .
find the 2 numbers whose sum is 108 and whose difference is 24 . . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 SBAR0 SBAR1 SBAR2 SBAR3 CC0 SBAR0 SBAR1 SBAR2 SBAR3 .0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the 1st team travel east at 20 miles per hour and the 2nd team travels west at 30 miles per hour . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 .0 CANNOTDISTRIBUTE	the 1st team travel east at 20 miles per hour . the 2nd team travel west at 30 miles per hour .
if together the students and professors number 40,000 , how many students are there in college ? CANNOTDISTRIBUTE	IN0 ADVP0 DT0 NNS0 CC0 NNS0 VP0 VP1 ,0 SBARQ0 SBARQ1 SBARQ2 SBARQ3 SBARQ4 SBARQ5 SBARQ6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a movie theater charges 7 dollars for an adult and 4 dollars for a child 's ticket . CANNOTDISTRIBUTE	NP0 NP1 NP2 VP0 VP1 VP2 VP3 VP4 VP5 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	a movie theater charges 7 dollars for an adult a movie theater charges 4 dollars for a child
the school took 246 dollars on the second day by selling 12 senior citizen tickets and 10 student tickets . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 PP0 PP1 PP2 PP3 IN0 VBG0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the difference of 3 times a number and 5 is 40 . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
joan has 9 blue balloons , sally has 5 blue balloons , and jessica has 2 blue balloons . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 ,0 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	joan has 9 blue balloons . sally has 5 blue balloons . jessica has 2 blue balloons .
how many children and adults attended ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 VP0 .0 CANNOTDISTRIBUTE	how many children attended ? how many adults attended ?
there are 850 douglas fir and ponderosa pine trees in a section of the forest bought by sawz logging company . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 PP4 PP5 PP6 PP7 PP8 PP9 PP10 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many liters of 5 % saline solution and 25 % saline solution must be mixed together to get 10 liters of 18 % saline solution ? CANNOTDISTRIBUTE	WHNP0 WHNP1 WHNP2 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
he only sees 50 legs and 18 heads . CANNOTDISTRIBUTE	NP0 ADVP0 VBZ0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	he only sees 50 legs . he only sees 18 heads .
find the cost of a duck and a pig . CANNOTDISTRIBUTE	VB0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	find the cost of a duck . find the cost of a pig .
a recent city ordinance decreed that only cars with 4 wheels and trucks with six wheels could be on the bridge at any given time . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 IN0 NP0 NP1 IN0 CD0 NNS0 CC0 NP0 NP1 NP2 NP3 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
vince 's bus ride to school is 0 .625 mile and zachary 's bus ride is 0 .5 mile . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	vince 's bus ride to school 's 0 .625 mile . zachary 's bus ride to school 's 0 .5 mile .
park workers will plant 3 dogwood trees today and 2 dogwood trees tomorrow . CANNOTDISTRIBUTE	NP0 NP1 MD0 VP0 VP1 VP2 VP3 VP4 CC0 NP0 NP1 NP2 NP0 .0 CANNOTDISTRIBUTE	park workers will plant 3 dogwood trees today . park workers will plant 2 dogwood trees tomorrow .
if harold sold a total of 155 cups of lemonade and collected a total of 265 dollars , how many small cups and large cups did he sell ? CANNOTDISTRIBUTE	IN0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 CC0 VP0 VP1 VP2 VP3 VP4 VP5 ,0 WHADVP0 WHADVP1 NP0 NP1 CC0 NX0 NX1 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
an employment agency specializing in temporary help pays heavy operators 129 dollars per day and general laborers 82 dollars per day . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	an employment agency specializing in temporary help pays heavy operators 129 dollars per day . an employment agency specializing in temporary help pays general laborers 82 dollars per day .
the sum of 5 and a number is 20 . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 CC0 NP0 NP1 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
tickets for a ballet performance cost 14 dollars for adults and 12 dollars for students . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	tickets for a ballet performance cost 14 dollars for adults . tickets for a ballet performance cost 12 dollars for students .
on a test containing 120 questions , the final score is based on 1 point for each correct answer and 0 .25 of a point subtracted for each incorrect answer . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 PP4 PP5 ,0 NP0 NP1 NP2 VBZ0 VBN0 IN0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 .0 CANNOTDISTRIBUTE	on a test containing 120 questions , the final score is based on 1 point for each correct answer . on a test containing 120 questions , the final score is based on 0 .25 of a point subtracted for each incorrect answer .
e chem testing has a solution that is 80 % base and another that is 30 % base . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	e-chem testing has a solution that is 80 % base . e-chem testing has a solution that is 30 % base .
last week tim had 12 dollars and keith had 36 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP0 VP0 VP1 VP2 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	last week tim had 12 dollars . last week keith had 36 dollars
if tickets for balcony seats will cost 15 dollars less than tickets for main level seats , what should the prices be for the main level seats and prices for the balcony seats , so that the total revenue from a sellout performance will be 84,500 ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 SBAR12 SBAR13 SBAR14 SBAR15 ,0 WHNP0 MD0 NP0 NP1 VB0 IN0 DT0 JJ0 NN0 NNS0 CC0 NNS0 PP0 PP1 PP2 PP3 ,0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the first watermelon was 9 .91 pounds , and the second watermelon was 4 .11 pounds . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	the first watermelon was 9 .91 pounds . the second watermelon was 4 .11 pounds .
2 similar tables and 6 similar chairs cost 6600 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP2 CC0 NP0 NP1 NP2 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
one unit of whole milk has 3 .4 grams of protein and 3 .7 grams of fat . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	one unit of whole milk has 3 .4 grams of protein . one unit of whole milk has 3 .7 grams of fat .
the first storm lasted 20 hours , and the second storm lasted 40 hours , for a total 1800 milliliters of rain . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
there are 39 scissors and 22 pencils in the drawer . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are 39 scissors in the drawer . there are 22 pencils in the drawer .
if 530 pesos can buy 4 kilograms of fish and 2 kilograms of pork while 875 pesos can buy 7 kilograms of fish and 3 kilograms of pork , how much does a kilogram of fish cost ? CANNOTDISTRIBUTE	IN0 NP0 NP1 MD0 VB0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 IN0 NP0 NP1 MD0 VB0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 ,0 WHNP0 WHNP1 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
sandy grew 8 carrots and 7 turnips . CANNOTDISTRIBUTE	JJ0 VBD0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	sandy grew 8 carrots . sandy grew 7 turnips .
mike picked 7 apples , nancy picked 3 apples , and keith picked 6 apples and 4 pears , at the farm . CANNOTDISTRIBUTE	S0 S1 S2 S3 ,0 S0 S1 S2 S3 ,0 CC0 NP0 VBD0 NP0 NP1 CC0 NP0 NP1 ,0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	mike picked 7 apples at the farm . nancy picked 3 apples at the farm . keith picked 6 apples at the farm . keith picked 4 pears at the farm .
to make a weak solution of 24 liters of 4 % acid , a lab technician will use some premixed solutions : one is 2 % acid and the other is 5 % acid . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 :0 S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
joan picked 37 oranges and sara picked 10 oranges . CANNOTDISTRIBUTE	NP0 VBD0 CD0 NNS0 CC0 NN0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	joan picked 37 oranges . sara picked 10 oranges .
7 audio cassettes and 3 video cassettes cost rs 1110 , while 5 audio cassettes and 4 video cassettes cost rs 1350 . CANNOTDISTRIBUTE	NP0 NP1 NP2 CC0 NP0 NP1 NP2 VBP0 NP0 NP1 ,0 IN0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	7 audio cassettes and 3 video cassettes cost rs 1110 . 5 audio cassettes and 4 video cassettes cost rs 1350 .
find the individual prices of the bath towels and washcloths . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 IN0 DT0 NN0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	find the individual prices of the bath towels . find the individual prices of the washcloths .
a math test is worth 100 points and has 30 problems . CANNOTDISTRIBUTE	NP0 NP1 NP2 VP0 VP1 VP2 VP3 CC0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	a math test is worth 100 points . a math test has 30 problems .
susan spent 20 dollars for a total of 36 pens and pencils . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 IN0 NP0 NP1 IN0 CD0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the cost of cultivating corn and wheat is 42 dollars for corn and 30 dollars for wheat . CANNOTDISTRIBUTE	NP0 NP1 IN0 VBG0 NN0 CC0 NN0 VBZ0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	the cost of cultivating corn is 42 dollars . the cost of cultivating wheat is 30 dollars .
a marine biologist measured 1 fish that was 0 .3 foot long and a second fish that was 0 .2 foot long . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBN0 NP0 NP1 WHNP0 VBD0 ADJP0 ADJP1 ADJP2 ADJP3 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 .0 CANNOTDISTRIBUTE	a marine biologist measured 1 fish that was 0 .3 foot long . a marine biologist measured a second fish that was 0 .2 foot long .
the sum of 20 and a number is 30 . CANNOTDISTRIBUTE	NP0 NP1 PP0 PP1 CC0 NP0 NP1 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a writing workshop enrolls novelists and poets in a ratio of 5 to 3 . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NNS0 CC0 NNS0 PP0 PP1 PP2 PP3 PP4 PP5 PP6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
2 trains leave simultaneously traveling on the same track in opposite directions at speeds of 50 and 64 miles per hour . CANNOTDISTRIBUTE	NP0 NP1 VBP0 ADVP0 VBG0 PP0 PP1 PP2 PP3 PP0 PP1 PP2 IN0 NP0 IN0 CD0 CC0 CD0 NNS0 PP0 PP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
for a special event at the tcr spring fest , the cost of 3 adult tickets and 4 student tickets was 84 dollars and the cost of 4 adult tickets and 2 student tickets was 62 dollars . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 PP4 PP5 PP6 PP7 PP8 ,0 NP0 NP1 IN0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 VP0 VP1 VP2 CC0 NP0 NP1 IN0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	for a special event at the tcr spring fest , the cost of 3 adult tickets and 4 student tickets was 84 dollars . for a special event at the tcr spring fest , the cost of 4 adult tickets and 2 student tickets was 62 dollars .
there are 42 walnut trees and 12 orange trees currently in the park . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	there are 42 walnut trees currently in the park . there are 12 orange trees currently in the park
the cost of the first shipment which contained 10 identical sweaters and 20 identical jackets was 800 dollars . CANNOTDISTRIBUTE	NP0 NP1 IN0 NP0 NP1 NP2 WHNP0 VBD0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the rocket coaster has 15 cars , some that hold 4 people and some that hold 6 people . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 ,0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	the rocket coaster has 15 cars , some hold 4 people . the rocket coaster has 15 cars , some hold 6 people .
sam had 49 pennies and 24 nickels in his bank . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	sam had 49 pennies in his bank . sam had 24 nickels in his bank .
if you received 684 dollars in interest after one year , how much did you invest at 6 % annual interest and at 9 % annual interest ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 ,0 WHNP0 WHNP1 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 SQ6 SQ7 CC0 PP0 PP1 PP2 PP3 PP4 .0 CANNOTDISTRIBUTE	if you received 684 dollars in interest after one year , how much did you invest at 6 % annual interest ? if you received 684 dollars in interest after one year , how much did you invest at 9 % annual interest ?
pauline rented a leather couch for 8 months and then exchanged it for a microfiber couch , which she rented for 12 months . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 ADVP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 .0 CANNOTDISTRIBUTE	pauline rented a leather couch for 8 months . pauline exchanged a leather couch for a microfiber couch , which she rented for 12 months .
each hot dog costs 1 .50 dollars and each soda costs 0 .50 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	each hot dog costs 1 .50 dollars . each soda costs 0 .50 dollars .
